Category,Destination,Amount,Address
FTP Rewards, MatterTurbulent#5161,.5892, 0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7   
FTP Rewards, pikachu#6696,.5892, 0x7f0cee1044269a8b3d809438ffd77baca4d72103
FTP Rewards, Mosa,.2357, 0x0C3baea2FE713be081A366c5b405da5Ea1236751 
FTP Rewards, Caramelizer,.17676, 0x18E9A706E45dD1c1718e3c0b1690Ca1896D28329 
FTP Rewards, Rohekbenitez,.17676, 0x6C965b656C450259a6D4d95A2E68Fb4319EecBc0
FTP Rewards, Prye#4845,.17676, 0x352D7C5A967e6AdD367D24c764Eb4888E631801f
ETH Swap, Pika's Binance, 2.71512, XXX  
