token_type,token_address,receiver,amount,Username,Task,Division 
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x2977d599f554bb440c331438891d80ed3d26aa0c,1000,kavishsethi,Meme It For The People,1st place
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x4f49D938c3Ad2437c52eb314F9bD7Bdb7FA58Da9,800,pvmihalache,Meme It For The People,2nd place
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8b38d6bCeA947c538206Ada2774F172A7409A7E5,600,InsertGenericArtName,Meme It For The People,3rd place
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xf1A35fBB88854cb727784b6670e962E1aeeAF209,400,infinity_d,Meme It For The People,4th place
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xB6BCAFD80038731AF27D17dA09E686A68F209fc2,400,Steve1404,Meme It For The People,4th place
